addr,side,group,btcblack_found,btcblack_latency_ms,block_height
bc1pae8p3yh2g6xntsarn87dpyqxark87ag4v35qy5dtcrlpfskwetlsn9je43,input,target_blocks,False,24.1,
bc1quy3tl87jpygjmdn6z9cmp4s64znqcv2x5q7tk3,input,target_blocks,False,91.1,
bc1q455hur75c20dpnkkec0n4xwexrnzgm6srfztv4,input,target_blocks,False,90.8,
bc1pmq8ket62zkvuejmspv0cd54sqeevvns3lmc4kvx39r3nuz67lwus3q3yp4,input,target_blocks,False,21.6,
bc1qqz623jyqdsh2w5y5kdmzk2ws6mzr2mt2etv5gx,input,target_blocks,False,21.6,
bc1qnmvq37p5sn80e9p056s74rsz6ajq2qgmtyyq00,input,target_blocks,False,23.4,
bc1qlsuz6wmux9yv8zly7pqtga27fptfhuge78t7ks,input,target_blocks,False,23.6,
bc1p5muznmewf3zrwc8rawumz900j27tpxlturhsyymrqkm4ev8cuchs7shnzu,input,target_blocks,False,87.3,
bc1qq8s3g0ag4gn9qmdpsgawp9x46hdankudvz2ukp,input,target_blocks,False,22.9,
bc1q4a42gdgv5su8j0agljt9vcwlte9nz9jql0xr9n,input,target_blocks,False,23.6,
bc1qtahjnxyz532t49culw87pknzklnt6pk0xtacuf,input,target_blocks,False,88.8,
bc1qex279aerh885fr62m0lnv3htvja2kw9km9c2aa,input,target_blocks,False,23.3,
bc1qvlnhp3jh8upw7rgn7fk0hkaw6pg4rjfu83334x,input,target_blocks,False,22.6,
bc1qvkg5gccjjx9vp7pyxeltj80wdeyh3hzpx6fhwl,input,target_blocks,False,22.6,
bc1qs075xxup5ktw5mxszu48emy400tha4x7nv6tpq,input,target_blocks,False,22.3,
bc1qv9x0zhl20dhjj5yty9rm5253wgnlyqsevvv6sp,input,target_blocks,False,23.1,
bc1qgs4uv87qpfpvqdw2thjktw52cahk7pnr8x3kn5,input,target_blocks,False,22.4,
bc1q74v5n4lcpqsh8e8vax0and72e9p8wt26ze0sjf,input,target_blocks,False,26.5,
