feature_set,model,region,n,positives,positive_rate,auc_pr,auc_roc,f1,precision,recall,brier,tp,fp,tn,fn,threshold,val_f1_for_threshold
13_features_without_memory,CatBoost,D5D6_clean_without_914593_914595,636701,5853,0.009192697985396599,0.6293647266138782,0.9757195397765268,0.6259530344617261,0.5651934462343384,0.7013497351785409,0.04130650399867217,4105,3158,627690,1748,0.9045237053527143,0.17960042060941864
13_features_without_memory,XGBoost,D5D6_clean_without_914593_914595,636701,5853,0.009192697985396599,0.34231552839802926,0.9627645647122552,0.17239902954188668,0.5233968804159446,0.10319494276439432,0.023322154772121136,604,550,630298,5249,0.9634175896644592,0.2513207547165338
13_features_without_memory,LightGBM,D5D6_clean_without_914593_914595,636701,5853,0.009192697985396599,0.32027308047768,0.9409700370756282,0.14349646311534575,0.462756052141527,0.08491371946010592,0.014334840282929109,497,577,630271,5356,0.9681569771881595,0.27255129694110525
13_features_without_memory,CatBoost,D5D6_full,649491,5900,0.009084036576334392,0.631621281111251,0.976273336321686,0.6280478570346812,0.5676156583629893,0.7028813559322034,0.040537252118665254,4147,3159,640432,1753,0.9045237053527143,0.17960042060941864
13_features_without_memory,XGBoost,D5D6_full,649491,5900,0.009084036576334392,0.3446324271355193,0.9636080024135762,0.17435607132748374,0.5283018867924528,0.10440677966101695,0.022883496260203987,616,550,643041,5284,0.9634175896644592,0.2513207547165338
13_features_without_memory,LightGBM,D5D6_full,649491,5900,0.009084036576334392,0.3212976086061546,0.9421858730472288,0.14304142181453347,0.46332404828226553,0.08457627118644068,0.01407460168053288,499,578,643013,5401,0.9681569771881595,0.27255129694110525
13_features_without_memory,CatBoost,D5D6_full__exposed_any,136835,5870,0.04289838126210399,0.7124434647661513,0.9539550223797391,0.7043736730360934,0.7022861981371719,0.706473594548552,0.0825326211321545,4147,1758,129207,1723,0.9045237053527143,0.17960042060941864
13_features_without_memory,XGBoost,D5D6_full__exposed_any,136835,5870,0.04289838126210399,0.46346740412344967,0.9296089446372104,0.18035426731078905,0.6409989594172737,0.10494037478705281,0.056421390344345596,616,345,130620,5254,0.9634175896644592,0.2513207547165338
13_features_without_memory,LightGBM,D5D6_full__exposed_any,136835,5870,0.04289838126210399,0.43120610439240004,0.9056407153529648,0.14798339264531435,0.5709382151029748,0.08500851788756389,0.04097113074143281,499,375,130590,5371,0.9681569771881595,0.27255129694110525
13_features_without_memory,CatBoost,D5D6_full__fraud_exposed,27260,5735,0.21038151137197358,0.8046013550277261,0.8989991281604185,0.7627555719285319,0.8083154401717744,0.7220575414123801,0.16953295192327858,4141,982,20543,1594,0.9045237053527143,0.17960042060941864
13_features_without_memory,XGBoost,D5D6_full__fraud_exposed,27260,5735,0.21038151137197358,0.6071579922616666,0.8446484744832502,0.18781493357764545,0.7555282555282555,0.10723626852659111,0.1449050946466943,615,199,21326,5120,0.9634175896644592,0.2513207547165338
13_features_without_memory,LightGBM,D5D6_full__fraud_exposed,27260,5735,0.21038151137197358,0.57212241466006,0.8156266015369084,0.15403649860810392,0.6812585499316005,0.08683522231909328,0.13005769998986336,498,233,21292,5237,0.9681569771881595,0.27255129694110525
13_features_without_memory,CatBoost,D5D6_full__history_exposed,109575,135,0.0012320328542094457,0.009943866740569778,0.9224167478882391,0.013086150490730643,0.0076726342710997444,0.044444444444444446,0.06088873322555134,6,776,108664,129,0.9045237053527143,0.17960042060941864
